Id;Label;Eccentricity;Closeness Centrality;Betweenness Centrality;Degree;Weighted Degree;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality;PageRank;Authority;Hub
1025;m135681;4.0;3.485262580419929;172.35047675630423;2;15.0;0;4;0.0;0;0.004809262059949447;1.3926694264063341E-5;7.579892E-6;7.579892E-6
1026;m135768;4.0;3.7935763802304123;0.0;1;4.0;0;4;0.0;0;0.0021656089442577916;9.07962205959996E-6;5.0532612E-6;5.0532612E-6
1027;m135925;4.0;3.799162136551793;0.0;1;6.0;0;3;0.0;0;0.002074329091716966;9.67240139220002E-6;5.0532612E-6;5.0532612E-6
1028;m135929;4.0;3.2439778564660116;1656.8487330020096;6;47.0;0;4;0.0;0;0.013170230005425623;2.478702468559554E-5;1.7686414E-5;1.7686414E-5
1029;m135934;4.0;3.0306219141189965;3107.8793797597896;4;22.0;0;4;0.0;0;0.01384304523780791;1.779505609287657E-5;1.2633153E-5;1.2633153E-5
1030;m136013;4.0;3.760660316193706;37.02261734499651;3;11.0;0;2;0.0;0;0.003832193607153574;1.067792808502278E-5;1.01065225E-5;1.01065225E-5
1031;m136031;4.0;2.821255797715825;27467.58341661279;45;293.0;0;5;0.0;0;0.060553016720640285;9.508430282833901E-5;1.1622501E-4;1.1622501E-4
1032;m136042;4.0;3.3897062490648846;0.0;1;2.0;0;4;0.0;0;0.005171630049623922;8.613916071903859E-6;5.0532612E-6;5.0532612E-6
1033;m136069;4.0;3.7676425115954317;76.47876154107878;5;37.0;0;5;0.0;0;0.004336551579087894;1.7857666811899888E-5;1.5159784E-5;1.5159784E-5
1034;m136181;4.0;3.763054211760012;17.322383382800766;2;10.0;0;2;0.0;0;0.0034353832724320515;1.0406589716039778E-5;7.579892E-6;7.579892E-6
1035;m136239;4.0;2.926287965687497;7298.001238408681;7;34.0;0;1;0.0;0;0.019625213727300753;2.1405197877350602E-5;2.0213045E-5;2.0213045E-5
1036;m136243;4.0;3.897411600418932;0.0;1;5.0;0;5;0.0;0;0.0011764377473281753;9.226012663313052E-6;5.0532612E-6;5.0532612E-6
1037;m136265;4.0;3.452745498977607;1790.5453908482662;14;68.0;0;3;0.0;0;0.016642857053544693;2.896445616216647E-5;3.789946E-5;3.789946E-5
1038;m136376;4.0;3.280085781257793;838.4993040354493;3;20.0;0;2;0.0;0;0.008047741555320056;1.573747549243167E-5;1.01065225E-5;1.01065225E-5
1039;m136420;4.0;3.120791980449853;1412.7727363193408;2;13.0;0;4;0.0;0;0.009542331092956385;1.4993565086959688E-5;7.579892E-6;7.579892E-6
1040;m136438;4.0;2.47174704503516;76136.85746378802;61;413.0;0;2;0.0;0;0.0898545818686756;1.3628064939124666E-4;1.566511E-4;1.566511E-4
1041;m136460;4.0;3.7139793526507408;0.0;1;7.0;0;4;0.0;0;0.002850046691962301;1.025156367659633E-5;5.0532612E-6;5.0532612E-6
1042;m136503;4.0;3.738317290908184;0.0;1;8.0;0;3;0.0;0;0.0025577768040834386;1.0829179246648095E-5;5.0532612E-6;5.0532612E-6
1043;m136523;4.0;3.3245723405316445;1966.2962504916788;10;54.0;0;5;0.0;0;0.016236079626713428;2.433888172344497E-5;2.7792938E-5;2.7792938E-5
1044;m136587;4.0;2.841903146975213;12849.39702474036;14;75.0;0;4;0.0;0;0.03105453081814548;3.657219469829332E-5;3.789946E-5;3.789946E-5
1045;m136616;4.0;3.8934217744750885;5.607527141336988;2;14.0;0;5;0.0;0;0.0015757111269012315;1.1445194426019406E-5;7.579892E-6;7.579892E-6
1046;m136703;4.0;3.8457433544461623;0.0;1;3.0;0;2;0.0;0;0.0016390953430173974;8.551546762080012E-6;5.0532612E-6;5.0532612E-6
1047;m136713;4.0;2.834322477681911;12104.923660163497;15;92.0;0;4;0.0;0;0.03270979741020544;4.1563441002792066E-5;4.042609E-5;4.042609E-5
1048;m136730;4.0;2.988728741708643;14476.18479015531;39;234.0;0;5;0.0;0;0.0456111972951334;7.579346679466218E-5;1.0106523E-4;1.0106523E-4
1049;m136763;4.0;3.897411600418932;0.0;1;6.0;0;5;0.0;0;0.0012402670276266392;9.21149629282134E-6;5.0532612E-6;5.0532612E-6
1050;m136779;4.0;3.4233205326417635;1709.9833085635837;8;40.0;0;5;0.0;0;0.012523518949664185;2.0798916851439323E-5;2.2739676E-5;2.2739676E-5
1051;m136973;4.0;2.413794823200838;107192.8389544705;81;511.0;0;5;0.0;0;0.11006723295579256;1.6395154507426666E-4;2.0718372E-4;2.0718372E-4
1052;m137068;4.0;3.8573138496833077;0.0;1;5.0;0;2;0.0;0;0.0017209585412903997;8.920597416362302E-6;5.0532612E-6;5.0532612E-6
1053;m137143;4.0;3.803451199441424;14.516669565226662;3;18.0;0;2;0.0;0;0.0032735803583420296;1.2731359648342964E-5;1.01065225E-5;1.01065225E-5
1054;m137161;4.0;2.7597127325320434;17566.845372510583;15;85.0;0;2;0.0;0;0.034039216746336746;4.0845621813534635E-5;4.042609E-5;4.042609E-5
